"Fraud_Type","Horizon","Recall","Precision","F1"
"Total",30,0,0,0
"Total",60,0,0,0
"Total",90,1,1,1
"Total",120,1,1,1
"Total",150,1,1,1
"Total",180,0.8,1,0.888888888888889
"Total",210,0.5,1,0.666666666666667
"Total",240,0.444444444444444,1,0.615384615384615
"Total",270,0.285714285714286,1,0.444444444444444
"Identity Fraud",30,0.333333333333333,1,0.5
"Investments",30,0.578947368421053,1,0.733333333333333
"Job",30,0.555555555555556,1,0.714285714285714
"Merchandise",30,0.25,1,0.4
"Service",30,0.153846153846154,1,0.266666666666667
"Identity Fraud",60,0.25,1,0.4
"Investments",60,0.638888888888889,1,0.779661016949152
"Job",60,0.470588235294118,0.615384615384615,0.533333333333333
"Merchandise",60,0.285714285714286,1,0.444444444444444
"Service",60,0.193548387096774,1,0.324324324324324
"Identity Fraud",90,0.341463414634146,1,0.509090909090909
"Investments",90,0.686274509803922,1,0.813953488372093
"Job",90,0.404255319148936,0.655172413793103,0.5
"Merchandise",90,0.324324324324324,1,0.489795918367347
"Service",90,0.225,1,0.36734693877551
"Identity Fraud",120,0.415094339622642,1,0.586666666666667
"Investments",120,0.632352941176471,1,0.774774774774775
"Job",120,0.349206349206349,0.6875,0.463157894736842
"Merchandise",120,0.28,1,0.4375
"Service",120,0.192982456140351,1,0.323529411764706
"Identity Fraud",150,0.532467532467532,1,0.694915254237288
"Investments",150,0.569767441860465,1,0.725925925925926
"Job",150,0.333333333333333,0.722222222222222,0.456140350877193
"Merchandise",150,0.234375,1,0.379746835443038
"Service",150,0.157142857142857,1,0.271604938271605
"Identity Fraud",180,0.533333333333333,1,0.695652173913044
"Investments",180,0.585858585858586,1,0.738853503184713
"Job",180,0.357894736842105,0.772727272727273,0.489208633093525
"Merchandise",180,0.197530864197531,1,0.329896907216495
"Service",180,0.132530120481928,1,0.234042553191489
"Identity Fraud",210,0.533980582524272,1,0.69620253164557
"Investments",210,0.555555555555556,1,0.714285714285714
"Job",210,0.336633663366337,0.772727272727273,0.468965517241379
"Merchandise",210,0.18,1,0.305084745762712
"Service",210,0.12,1,0.214285714285714
"Identity Fraud",240,0.543103448275862,1,0.70391061452514
"Investments",240,0.529411764705882,1,0.692307692307692
"Job",240,0.294117647058824,0.777777777777778,0.426829268292683
"Merchandise",240,0.148760330578512,1,0.258992805755396
"Service",240,0.0967741935483871,1,0.176470588235294
"Investments",270,0.492857142857143,1,0.660287081339713
